"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
30,55,1,2,6,81,6,18.526752471923828,200,2,"[[0| 0| 0| 0| 4| 0| 0| 8| 0]| [0| 2| 0| 0| 8| 0| 6| 0| 0]| [8| 0| 0| 0| 0| 0| 7| 0| 2]| [3| 7| 0| 1| 6| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 9| 2| 1| 0]| [9| 5| 0| 0| 0| 0| 0| 0| 0]| [7| 0| 8| 0| 0| 4| 0| 0| 0]| [0| 1| 0| 0| 0| 0| 0| 0| 4]| [4| 0| 0| 6| 0| 0| 1| 0| 0]]"
30,59,0,22,13,81,33,95.55182814598083,200,2,"[[0| 0| 0| 0| 4| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 2| 7| 1| 0]| [0| 0| 2| 0| 0| 5| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 5]| [0| 0| 5| 2| 6| 0| 0| 9| 0]| [0| 8| 0| 0| 0| 0| 0| 0| 6]| [5| 4| 0| 0| 9| 0| 0| 0| 3]| [2| 0| 8| 0| 0| 0| 0| 0| 9]| [0| 7| 0| 4| 0| 0| 0| 0| 0]]"
12,56,0,1,2,81,61,196.57520198822021,200,2,"[[0| 0| 0| 0| 6| 0| 0| 0| 0]| [0| 9| 0| 4| 0| 0| 0| 0| 0]| [8| 0| 0| 0| 0| 0| 2| 3| 0]| [6| 0| 7| 0| 4| 0| 0| 0| 0]| [1| 0| 0| 0| 0| 0| 0| 0| 8]| [0| 0| 0| 9| 0| 6| 5| 0| 0]| [0| 0| 0| 7| 8| 0| 4| 0| 1]| [0| 0| 0| 0| 0| 9| 0| 5| 2]| [0| 2| 0| 0| 1| 0| 0| 7| 0]]"
19,57,3,0,2,81,25,139.4849350452423,200,2,"[[0| 0| 2| 0| 0| 0| 0| 0| 8]| [5| 3| 0| 0| 0| 0| 1| 0| 0]| [1| 0| 0| 0| 0| 0| 0| 7| 0]| [0| 0| 9| 0| 2| 0| 0| 4| 0]| [0| 0| 0| 0| 0| 9| 0| 0| 7]| [4| 7| 0| 1| 0| 0| 6| 0| 0]| [0| 0| 0| 4| 0| 0| 0| 6| 0]| [8| 0| 0| 0| 0| 2| 0| 5| 0]| [0| 0| 6| 0| 0| 0| 7| 0| 9]]"
11,58,15,15,2,81,67,321.48772978782654,200,2,"[[6| 1| 0| 0| 8| 0| 0| 0| 0]| [0| 4| 0| 0| 0| 6| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 1| 8]| [0| 7| 0| 0| 3| 0| 8| 0| 0]| [0| 0| 0| 0| 0| 0| 5| 0| 0]| [0| 0| 2| 0| 0| 9| 0| 3| 4]| [0| 0| 6| 0| 4| 0| 0| 0| 0]| [0| 2| 9| 5| 0| 0| 0| 0| 0]| [0| 0| 5| 0| 1| 0| 0| 0| 7]]"
17,54,2,3,1,81,76,241.51572036743164,200,2,"[[0| 0| 7| 2| 8| 5| 0| 1| 6]| [0| 5| 0| 0| 0| 0| 3| 0| 2]| [0| 0| 0| 0| 0| 0| 0| 0| 5]| [0| 9| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 9| 5| 0| 0| 0| 0]| [0| 0| 0| 4| 0| 6| 0| 0| 0]| [7| 0| 3| 0| 0| 4| 0| 0| 0]| [4| 0| 0| 5| 0| 8| 0| 9| 0]| [0| 1| 0| 7| 3| 0| 0| 0| 4]]"
18,56,2,13,0,81,0,1.0737144947052002,200,2,"[[8| 3| 0| 0| 2| 0| 1| 6| 0]| [0| 0| 0| 0| 0| 0| 2| 0| 0]| [0| 0| 0| 8| 0| 9| 0| 0| 0]| [0| 1| 2| 0| 8| 0| 0| 0| 0]| [0| 0| 9| 0| 7| 0| 0| 0| 0]| [7| 0| 0| 0| 0| 0| 0| 0| 2]| [0| 0| 0| 4| 0| 0| 6| 3| 0]| [6| 0| 8| 0| 0| 0| 4| 0| 0]| [0| 0| 0| 9| 5| 0| 8| 0| 0]]"
18,47,0,3,1,81,4,13.437962055206299,200,2,"[[0| 0| 0| 0| 0| 0| 8| 0| 0]| [9| 0| 0| 4| 3| 8| 0| 0| 0]| [0| 0| 0| 6| 0| 0| 0| 0| 9]| [4| 7| 0| 0| 0| 0| 1| 9| 8]| [0| 0| 1| 0| 8| 0| 4| 3| 0]| [0| 0| 9| 2| 4| 1| 0| 6| 0]| [0| 0| 0| 0| 2| 5| 0| 0| 3]| [0| 0| 8| 0| 7| 0| 6| 2| 0]| [0| 0| 0| 1| 0| 3| 0| 0| 5]]"
14,47,15,1,1,81,4,13.078618288040161,200,2,"[[2| 7| 8| 0| 0| 0| 1| 0| 4]| [3| 0| 0| 0| 0| 4| 0| 0| 0]| [0| 0| 6| 0| 3| 1| 0| 0| 0]| [0| 0| 0| 9| 5| 8| 3| 6| 7]| [0| 0| 0| 0| 4| 6| 0| 0| 8]| [0| 0| 0| 3| 0| 2| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 6]| [0| 0| 0| 0| 1| 9| 2| 7| 0]| [0| 0| 1| 5| 0| 0| 0| 0| 3]]"
13,57,13,3,2,81,2,6.464064121246338,200,2,"[[0| 0| 7| 0| 3| 0| 0| 6| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 1]| [3| 0| 0| 0| 9| 7| 8| 0| 5]| [1| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 6| 1| 0| 0| 9]| [0| 9| 0| 5| 2| 0| 0| 0| 0]| [7| 4| 0| 0| 1| 5| 0| 0| 0]| [0| 0| 0| 2| 8| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 2| 3| 0]]"
27,51,0,0,7,81,20,63.4013512134552,200,2,"[[0| 0| 0| 2| 1| 4| 6| 0| 3]| [1| 0| 0| 7| 0| 0| 0| 4| 0]| [0| 0| 0| 0| 0| 0| 8| 9| 0]| [0| 0| 0| 9| 3| 0| 0| 0| 0]| [0| 6| 0| 0| 0| 1| 0| 0| 0]| [9| 0| 0| 8| 7| 0| 0| 0| 0]| [0| 1| 0| 0| 6| 0| 0| 0| 7]| [0| 5| 9| 3| 0| 0| 0| 2| 0]| [7| 0| 0| 0| 0| 8| 0| 6| 0]]"
9,56,22,15,7,81,104,340.11077976226807,200,2,"[[0| 0| 0| 0| 4| 9| 0| 8| 7]| [0| 0| 4| 0| 0| 7| 0| 1| 0]| [0| 1| 0| 0| 5| 6| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 8| 3| 9]| [0| 0| 0| 0| 0| 2| 0| 0| 0]| [0| 7| 6| 0| 0| 0| 0| 0| 0]| [0| 5| 0| 0| 9| 0| 0| 6| 8]| [0| 9| 0| 2| 0| 0| 0| 0| 0]| [0| 2| 0| 0| 0| 0| 0| 0| 5]]"
21,57,13,17,0,81,3,10.744845867156982,200,2,"[[0| 0| 1| 5| 0| 0| 0| 0| 3]| [0| 8| 0| 0| 0| 0| 9| 0| 0]| [0| 4| 0| 6| 0| 0| 0| 0| 0]| [0| 1| 9| 0| 0| 0| 0| 3| 0]| [0| 0| 0| 0| 0| 0| 5| 0| 6]| [0| 0| 5| 0| 0| 7| 0| 1| 0]| [9| 5| 0| 0| 1| 3| 0| 7| 0]| [0| 0| 3| 0| 5| 0| 0| 0| 9]| [0| 0| 0| 2| 0| 0| 0| 0| 0]]"
18,57,18,17,2,81,2,7.149643421173096,200,2,"[[0| 0| 0| 0| 5| 6| 0| 0| 2]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 3| 0| 9| 0| 5| 4| 0]| [0| 4| 2| 0| 0| 0| 1| 0| 0]| [0| 0| 0| 0| 0| 0| 9| 5| 0]| [0| 0| 1| 0| 3| 0| 0| 0| 0]| [0| 1| 0| 4| 0| 2| 0| 0| 0]| [2| 8| 0| 5| 0| 0| 7| 0| 0]| [0| 5| 0| 7| 0| 0| 0| 0| 6]]"
22,57,3,13,8,81,0,0.9066429138183594,200,2,"[[0| 0| 0| 0| 0| 4| 1| 0| 0]| [8| 0| 0| 0| 3| 0| 0| 0| 0]| [0| 4| 2| 0| 0| 0| 0| 0| 3]| [9| 0| 4| 0| 0| 0| 7| 3| 0]| [0| 0| 5| 0| 0| 0| 0| 2| 0]| [0| 0| 0| 6| 9| 0| 0| 0| 0]| [0| 3| 0| 0| 0| 8| 0| 0| 6]| [2| 0| 0| 7| 0| 0| 0| 9| 8]| [0| 0| 0| 0| 0| 6| 0| 7| 0]]"
7,55,0,3,3,81,26,83.46439981460571,200,2,"[[0| 0| 9| 0| 6| 4| 0| 7| 0]| [0| 6| 0| 0| 7| 0| 0| 0| 1]| [0| 0| 0| 0| 0| 3| 5| 0| 0]| [0| 7| 4| 0| 0| 5| 0| 9| 0]| [3| 0| 0| 0| 0| 0| 0| 1| 0]| [5| 0| 0| 8| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 2| 0| 0]| [0| 3| 0| 0| 2| 0| 1| 5| 8]| [6| 2| 0| 0| 0| 0| 0| 0| 0]]"
18,49,2,3,1,81,8,27.037874698638916,200,2,"[[0| 0| 0| 0| 0| 0| 0| 1| 4]| [0| 0| 0| 4| 5| 0| 7| 9| 8]| [7| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 1| 9| 0| 6| 0| 5]| [0| 0| 3| 8| 6| 0| 0| 0| 1]| [6| 0| 8| 5| 7| 0| 0| 0| 0]| [0| 0| 7| 9| 2| 0| 0| 0| 6]| [3| 8| 0| 6| 0| 0| 1| 0| 0]| [0| 0| 0| 3| 0| 5| 0| 0| 0]]"
18,55,0,2,2,81,2,7.295063495635986,200,2,"[[3| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 5| 1| 0| 2| 6| 3| 0| 0]| [0| 6| 0| 0| 0| 7| 0| 0| 2]| [0| 8| 0| 0| 0| 0| 1| 0| 0]| [0| 0| 3| 0| 5| 0| 0| 0| 0]| [0| 1| 6| 0| 8| 0| 9| 3| 0]| [0| 0| 0| 4| 0| 0| 0| 0| 0]| [0| 3| 0| 0| 0| 9| 0| 2| 0]| [0| 0| 4| 0| 0| 5| 0| 1| 6]]"
